user_genome	Domain	Phylum	Class	Order	Family	Genus	Species
C.5.C.60-MM-bin.26	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Anabaena_A	Anabaena_A cylindrica
C.5.C.60-MM-bin.25	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides
C.5.C.60-MM-bin.24	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.C.60-MM-bin.23	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum
C.5.C.60-MM-bin.22	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borrelia	Borrelia anserina
C.5.C.60-MM-bin.21	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borreliella	Borreliella chilensis
C.5.C.60-MM-bin.20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
C.5.C.60-MM-bin.2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor_B	Nitratireductor_B basaltis
C.5.C.60-MM-bin.19	Bacteria	Verrucomicrobiota_A	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	Chlamydophila pecorum
C.5.C.60-MM-bin.18	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.C.60-MM-bin.17	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.C.60-MM-bin.16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
C.5.C.60-MM-bin.15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei
C.5.C.60-MM-bin.14	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borrelia	Borrelia duttonii
