bin_id,eve_class,sample,evenness,taxonomy,depth,pipeline,coverage,rel_abd
A.2.N.60-8K-bin.18,logarithmic,A,2,N,60,8K,109,0.019273539
A.2.N.60-8K-bin.19,logarithmic,A,2,N,60,8K,8,0.001149878
A.2.N.60-8K-bin.2,logarithmic,A,2,N,60,8K,37,0.012836087
A.2.N.60-8K-bin.20,logarithmic,A,2,N,60,8K,6,0.002136517
A.2.N.60-8K-bin.21,logarithmic,A,2,N,60,8K,76,0.017129688
A.2.N.60-8K-bin.22,logarithmic,A,2,N,60,8K,12,0.004322469
A.2.N.60-8K-bin.23,logarithmic,A,2,N,60,8K,64,0.013258853
A.2.N.60-8K-bin.24,logarithmic,A,2,N,60,8K,53,0.007027959
A.2.N.60-8K-bin.25,logarithmic,A,2,N,60,8K,12,0.004295202
A.2.N.60-8K-bin.26,logarithmic,A,2,N,60,8K,64,0.013258853
A.2.N.60-8K-bin.27,logarithmic,A,2,N,60,8K,6,0.002001112
A.2.N.60-8K-bin.28,logarithmic,A,2,N,60,8K,8,0.001255699
A.2.N.60-8K-bin.29,logarithmic,A,2,N,60,8K,10,0.002850745
A.2.N.60-8K-bin.3,logarithmic,A,2,N,60,8K,76,0.017129688
A.2.N.60-8K-bin.30,logarithmic,A,2,N,60,8K,44,0.006010169
A.2.N.60-8K-bin.31,logarithmic,A,2,N,60,8K,37,0.012836087
A.2.N.60-8K-bin.32,logarithmic,A,2,N,60,8K,64,0.013258853
A.2.N.60-8K-bin.33,logarithmic,A,2,N,60,8K,53,0.007027959
A.2.N.60-8K-bin.34,logarithmic,A,2,N,60,8K,6,0.002001112
A.2.N.60-8K-bin.35,logarithmic,A,2,N,60,8K,44,0.006010169
A.2.N.60-8K-bin.36,logarithmic,A,2,N,60,8K,8,0.001158562
A.2.N.60-8K-bin.37,logarithmic,A,2,N,60,8K,76,0.017129688
A.2.N.60-8K-bin.38,logarithmic,A,2,N,60,8K,10,0.002850745
A.2.N.60-8K-bin.39,logarithmic,A,2,N,60,8K,8,0.001149878
A.2.N.60-8K-bin.4,logarithmic,A,2,N,60,8K,7,0.003344264
A.2.N.60-8K-bin.40,logarithmic,A,2,N,60,8K,6,0.002001112
A.2.N.60-8K-bin.41,logarithmic,A,2,N,60,8K,12,0.004295202
A.2.N.60-8K-bin.5,logarithmic,A,2,N,60,8K,64,0.013258853
A.2.N.60-8K-bin.6,logarithmic,A,2,N,60,8K,12,0.004295202
A.2.N.60-8K-bin.7,logarithmic,A,2,N,60,8K,37,0.012836087
A.2.N.60-8K-bin.8,logarithmic,A,2,N,60,8K,10,0.002850745
A.2.N.60-8K-bin.9,logarithmic,A,2,N,60,8K,10,0.002850745
A.2.N.60-DT-bin.1,logarithmic,A,2,N,60,DT,75,0.019359826
A.2.N.60-DT-bin.10,logarithmic,A,2,N,60,DT,7,0.003518721
A.2.N.60-DT-bin.11,logarithmic,A,2,N,60,DT,63,0.01352113
A.2.N.60-DT-bin.12,logarithmic,A,2,N,60,DT,30,0.011748861
A.2.N.60-DT-bin.13,logarithmic,A,2,N,60,DT,5,0.00177577
A.2.N.60-DT-bin.14,logarithmic,A,2,N,60,DT,8,0.001133744
A.2.N.60-DT-bin.15,logarithmic,A,2,N,60,DT,6,0.002209137
A.2.N.60-DT-bin.17,logarithmic,A,2,N,60,DT,10,0.003289079
A.2.N.60-DT-bin.2,logarithmic,A,2,N,60,DT,107,0.021310052
A.2.N.60-DT-bin.3,logarithmic,A,2,N,60,DT,12,0.004452375
A.2.N.60-DT-bin.4,logarithmic,A,2,N,60,DT,52,0.007427358
A.2.N.60-DT-bin.5,logarithmic,A,2,N,60,DT,14,0.005620654
A.2.N.60-DT-bin.6,logarithmic,A,2,N,60,DT,89,0.016291339
A.2.N.60-DT-bin.7,logarithmic,A,2,N,60,DT,36,0.013726755
A.2.N.60-DT-bin.8,logarithmic,A,2,N,60,DT,43,0.006055921
A.2.N.60-MM-bin.1,logarithmic,A,2,N,60,MM,53,0.007352272
A.2.N.60-MM-bin.12,logarithmic,A,2,N,60,MM,30,0.011556503
A.2.N.60-MM-bin.13,logarithmic,A,2,N,60,MM,27,0.010024526
A.2.N.60-MM-bin.14,logarithmic,A,2,N,60,MM,37,0.013072529
A.2.N.60-MM-bin.2,logarithmic,A,2,N,60,MM,15,0.00594855
A.2.N.60-MM-bin.3,logarithmic,A,2,N,60,MM,64,0.013263587
A.2.N.60-MM-bin.4,logarithmic,A,2,N,60,MM,10,0.002816127
A.2.N.60-MM-bin.5,logarithmic,A,2,N,60,MM,12,0.004120728
